"Quota[km]","g[m/s2]","T[K]","Rho[kg/m3]","P[kg/kmoli]","Lam[m]"
16.25,9.7567,216.65,0.16007,28.964,5.0764E-7
16,9.7575,216.65,0.16647,28.964,4.8812E-7
15.75,9.7582,216.65,0.17313,28.964,4.6934E-7
15.5,9.759,216.65,0.18006,28.964,4.5128E-7
15.25,9.7598,216.65,0.18726,28.964,4.3392E-7
15,9.7605,216.65,0.19476,28.964,4.1723E-7
14.75,9.7613,216.65,0.20225,28.964,4.0117E-7
14.5,9.7621,216.65,0.21066,28.964,3.8574E-7
14.25,9.7628,216.65,0.21909,28.964,3.7089E-7
14,9.7636,216.65,0.22786,28.964,3.5662E-7
13.75,9.7644,216.65,0.23698,28.964,3.4289E-7
13.5,9.7651,216.65,0.24646,28.964,3.2969E-7
13.25,9.7659,216.65,0.25633,28.964,3.17E-7
13,9.7667,216.65,0.2666,28.964,3.0479E-7
12.75,9.7674,216.65,0.27727,28.964,2.9306E-7
12.5,9.7682,216.65,0.28838,28.964,2.8178E-7
12.25,9.769,216.65,0.29993,28.964,2.7092E-7
12,9.7697,216.65,0.31194,28.964,2.6049E-7
11.75,9.7705,216.65,0.32443,28.964,2.5046E-7
11.5,9.7713,216.65,0.33743,28.964,2.4081E-7
11.25,9.772,216.65,0.35095,28.964,2.3154E-7
11,9.7728,216.77,0.3648,28.964,2.2274E-7
10.75,9.7736,218.39,0.37654,28.964,2.158E-7
10.5,9.7743,220.01,0.38857,28.964,2.0912E-7
10.25,9.7751,221.63,0.40089,28.964,2.0269E-7
10,9.7759,223.25,0.41351,28.964,1.9651E-7
9.75,9.7766,224.87,0.42643,28.964,1.9055E-7
9.5,9.7774,226.49,0.43966,28.964,1.8482E-7
9.25,9.7782,228.11,0.4532,28.964,1.7929E-7
9,9.7789,229.73,0.46706,28.964,1.7397E-7
8.75,9.7797,231.35,0.48125,28.964,1.6885E-7
8.5,9.7805,232.97,0.49576,28.964,1.639E-7
8.25,9.7812,234.59,0.5106,28.964,1.5914E-7
8,9.782,236.22,0.52579,28.964,1.5454E-7
7.75,9.7828,237.84,0.54131,28.964,1.5011E-7
7.5,9.7836,239.46,0.55719,28.964,1.4583E-7
7.25,9.7843,241.08,0.57342,28.964,1.417E-7
7,9.7851,242.7,0.59002,28.964,1.3772E-7
6.75,9.7859,244.32,0.60698,28.964,1.3387E-7
6.5,9.7866,245.94,0.62431,28.964,1.3016E-7
6.25,9.7874,247.56,0.64202,28.964,1.2656E-7
6,9.7882,249.19,0.66011,28.964,1.231E-7
5.75,9.7889,250.81,0.67859,28.964,1.1974E-7
5.5,9.7897,252.43,0.69747,28.964,1.165E-7
5.25,9.7905,254.05,0.71675,28.964,1.1337E-7
5,9.7912,255.68,0.73643,28.964,1.1034E-7
4.75,9.792,257.3,0.75652,28.964,1.0741E-7
4.5,9.7928,258.92,0.77704,28.964,1.0457E-7
4.25,9.7936,260.54,0.79798,28.964,1.0183E-7
4,9.7943,262.17,0.81935,28.964,9.9173E-8
3.75,9.7951,263.79,0.84115,28.964,9.6602E-8
3.5,9.7959,265.41,0.8634,28.964,9.4113E-8
3.25,9.7966,267.04,0.8861,28.964,9.1702E-8
3,9.7974,268.66,0.90925,28.964,8.9367E-8
2.75,9.7982,270.28,0.93287,28.964,8.7104E-8
2.5,9.7989,271.91,0.95695,28.964,8.4912E-8
2.25,9.7997,273.53,0.98151,28.964,8.2788E-8
2,9.8005,275.15,1.0066,28.964,8.0728E-8
1.75,9.8013,276.78,1.0321,28.964,7.8731E-8
1.5,9.802,278.4,1.0581,28.964,7.6795E-8
1.25,9.8028,280.03,1.0846,28.964,7.4917E-8
1,9.8036,281.65,1.1117,28.964,7.3095E-8
0.75,9.8043,283.28,1.1392,28.964,7.1328E-8
0.5,9.8051,284.9,1.1673,28.964,6.9613E-8
0.25,9.8059,286.53,1.1959,28.964,6.7948E-8
0,9.8067,288.15,1.225,28.964,6.6332E-8
